Date,Open,High,Low,Close
16.07.2008,1.58238,1.58929,1.57815,1.586
17.07.2008,1.58597,1.58867,1.58035,1.58448
18.07.2008,1.58448,1.58448,1.58448,1.58448
19.07.2008,1.58448,1.58448,1.58448,1.58448
20.07.2008,1.58418,1.59306,1.58265,1.59182
21.07.2008,1.59197,1.59442,1.57536,1.57838
22.07.2008,1.57815,1.57989,1.56664,1.56966
23.07.2008,1.56952,1.57139,1.56253,1.56752
24.07.2008,1.56774,1.57537,1.56588,1.57043
25.07.2008,1.57043,1.57043,1.57043,1.57043
26.07.2008,1.57043,1.57043,1.57043,1.57043
27.07.2008,1.57047,1.57683,1.56801,1.57404
28.07.2008,1.57399,1.57573,1.55493,1.55863
29.07.2008,1.5588,1.56166,1.55183,1.55735
30.07.2008,1.55768,1.56995,1.55658,1.56009
31.07.2008,1.56022,1.56038,1.55142,1.55609
01.08.2008,1.55609,1.55609,1.55609,1.55609
02.08.2008,1.55609,1.55609,1.55609,1.55609
03.08.2008,1.55638,1.56306,1.55526,1.55722
04.08.2008,1.55742,1.55784,1.54442,1.54528
05.08.2008,1.54515,1.55167,1.53956,1.54056
06.08.2008,1.54065,1.55019,1.53068,1.53228
07.08.2008,1.53202,1.53349,1.4993,1.50032
08.08.2008,1.50032,1.50032,1.50032,1.50032
09.08.2008,1.50032,1.50032,1.50032,1.50032
10.08.2008,1.5,1.50835,1.48786,1.49085
11.08.2008,1.49064,1.49646,1.48112,1.49238
12.08.2008,1.49227,1.49796,1.48397,1.49168
13.08.2008,1.49162,1.49499,1.47746,1.48228
14.08.2008,1.48257,1.48257,1.46554,1.46856
